staffName,method,date,summary,substantive,donor,outcome,reportID
Carlos Bendiga,Email,10/1/17,Not able to attend Fall Football games this season,N,Steven Sanders,Negative,101
Deborah Mettier,Email,10/1/17,Deborah to host John for homecoming game. Lunch meeting pending.,N,John Summers,Positive,102
Rashi Mohinder,Email,10/1/17,Ken's no longer wishes to support the university. Unhappy with recently handling of gift recognition ceremony cancellation.,N,Ken Takahashi,Negative,103
Rashi Mohinder,Phone,10/18/17,Wendy spoke with Troy Rigamonti and he identified Ingrid as a major gift prospect. He has been in touch with her due to her work with United Way in San Francisco and has expressed interest in getting involved in the Center,Y,Ingrid Horowitz,Positive,104
Ann Marie Levier,Email,10/25/17,Emailed Yoshi to inquire if he would like to be featured in the annual report,N,Yoshi Margarita,Positive,105
Ann Marie Levier,Email,10/26/17,"Bill would like to become more involved with University Center, first with a blog post and he will add the Institute to annual charities to support",Y,Bill Mandel,Positive,106
Ann Marie Levier,Email,10/27/17,Emailed about continued funding or guidance regarding facilities project based on lab meeting,N,Jeff Zink,Positive,107
Ann Marie Levier,Email,10/27/17,Laurie is not able to meet now (too busy),N,Laurie Stickel,Negative,108
Ann Marie Levier,Phone,10/27/17,Left message for meeting to gather feedback about Dayton event and negative concerns about upcoming initiative,N,Carol Candy,Negative,109
Deborah Mettier,Visit,10/3/17,Agreed to review giving opportunities,Y,Maria Del Carmen,Positive,110
Deborah Mettier,Email,10/3/17,Requested class notation for new consulting job,N,Jonathan Dune,Positive,111
Carlos Bendiga,Email,10/30/17,Not available during next trip to Seattle. Declined last meeting. Will try again in Winter.,N,Barbara Benaldi,Negative,112
Bill Bamers,Visit,11/20/17,"Roger, Julie and Amy met Jennifer for a cultivation lunch in Palo Alto. Jennifer shared that she and Jack would like to try to get to the Ambassadors Society level to support research lab.",Y,Jennifer Ballens,Positive,113
Ann Marie Levier,Letter,11/24/17,"Sent Marsha an leadership annual fund upgrade brochure with a handwritten note asking her to become a leadership annual fund donor with a gift of $5,000",Y,Marsha Kenmore,Positive,114
Ann Marie Levier,Letter,11/24/17,"Sent upgrade brochure to Kenneth thanking them for their support since 2000 and asking them to become leadership annual fund donors with a gift of $2,500",Y,Kenneth Smith,Positive,115
Ann Marie Levier,Letter,11/27/17,"Sent upgrade brochure asking Jeffrey and Julie to become a leadership annual fund donor by making a gift of $1,000 or more, and said I'd be happy to send information about our Leadership Society",Y,Jeffrey Jantz,Positive,116
Deborah Mettier,Phone,11/29/17,$50k to extend Kendrick Memorial Undergraduate Scholarship and create Guiles Memorial Student Scholarship based on board meeting and verbal commtiment,Y,Donna Gilbert,Positive,117
Ann Marie Levier,Letter,11/30/17,"Sent Belinda an upgrade brochure, appeal letter and envelope, as well as a handwritten note asking for her to become a leadership annual fund donor with a gift of $1,000",Y,Belinda Carlyle,Positive,118
Ann Marie Levier,Email,12/1/17,Sent Dominic an email asking for an update if he would like to move ahead with a gift to establish the full Graduate Student Honors Program based on how pleased he was with the intern program,Y,Dominic Richards,Positive,119
Ann Marie Levier,Email,12/1/17,"Emailed Dr. Jonathan Winters, who have ties to Dr. Bendrich, regarding a gift to fund a Student Honors Program based on his verbal interest",Y,William Bendrich,Positive,120
Tos Norani,Email,7/10/17,"Outreach to inquire if Bob would be willing to host admitted students reception, but he declined",N,Robert Miller,Negative,121
Rashi Mohinder,Email,7/10/17,Mithra not able to attend breakfast with Center council,N,Mithra Jones,Negative,122
Rashi Mohinder,Email,7/10/17,"Troy Rigamonti interested in educational portfolio, but has serious doubt and negative feelings about the Center",Y,Troy Rigamonti,Negative,123
Carlos Bendiga,Visit,7/10/17,not interested in the University,Y,Beatrice Horowitz,Negative,124
Ann Marie Levier,Email,7/10/17,Not able to meet during this trip,N,Xochi Del Carmen,Negative,125
Ann Marie Levier,Email,7/10/17,Not able to meet during this trip,N,Jonathan Dune,Negative,126
Rashi Mohinder,Email,7/11/17,Felix declined invitation to support student program,N,Felix Feathers,Negative,127
Rashi Mohinder,Phone,7/11/17,Julia left a message for Mithra asking him to speak on behalf of Board at Feb meeting in Floria,N,Mithra Jones,Positive,128
Rashi Mohinder,Email,7/11/17,Demi asked for report and expressed concern of event date,N,Demi Moore,Negative,129
Ann Marie Levier,Email,7/11/17,not interested in the University,N,Carol Candy,Negative,130
Ann Marie Levier,Email,7/11/17,not interested in the University,Y,Bill Mandel,Negative,131
Bill Bamers,Phone,7/11/17,Definitely interested in the University and would like a meeting next month.,Y,Kenji Margarita,Positive,132
Rashi Mohinder,Phone,7/12/17,Margaret Charles cannot attend,Y,Margaret Charles,Negative,133
Ann Marie Levier,Phone,7/12/17,Not able to meet during this trip,N,Laurie Stickel,Negative,134
Rashi Mohinder,Email,7/13/17,Jeffrey cannot attend meeting with Jim Yamamoto,N,Jeff Cook,Negative,135
Rashi Mohinder,Email,7/13/17,Henry cannot attend meeting with Mary and Jim Yamamoto,N,Henry Lime,Negative,136
Rashi Mohinder,Visit,7/13/17,Kangsu verbally agreed to funding Research project,Y,Kanghu Kim,Positive,137
Rashi Mohinder,Email,7/13/17,Marsha cannot attend Board meeting in March,N,Marsha Manning,Negative,138
April Catson,Visit,7/13/17,Linda is a long time Bronco Family member who has played a big part of awareness with student programs. Linda is interested and viable as a connector to other reunion volunteers.,Y,Linda Johnson,Positive,139
Rashi Mohinder,Visit,7/13/17,Morgan decided she is no longer interested in supporting the Center to focus on other priorities,N,Morgan Miller,Negative,140
Rashi Mohinder,Email,7/13/17,Amy Peters could not attend parlor meeting,N,Amy Peters,Negative,141
Rashi Mohinder,Email,7/13/17,David Charles cannot attend,N,David Charles,Negative,142
Ann Marie Levier,Visit,7/13/17,not interested in the University,N,Kenneth Smith,Negative,143
Ann Marie Levier,Email,7/13/17,not a gift prospect,Y,Julie Ballens,Negative,144
Ann Marie Levier,Email,7/13/17,not interested in the University,Y,Ben Benaldi,Negative,145
Deborah Mettier,Email,7/13/17,Not able to meet during this trip,Y,Josh Zink,Negative,146
Rashi Mohinder,Email,7/15/17,"Julia sent Sandy an email following up on her potential Council membership as well as meeting with Toshio Kumura, family's financial planner",N,Sandy Bullock,Positive,147
Rashi Mohinder,Email,7/15/17,Julia reached out for a meeting to discuss Leonard's support of the Center.,N,Leonard Nimorach,Positive,148
Rashi Mohinder,Phone,7/15/17,Jim Yamamoto and Ben discussed his role as Chair and future support.,N,Ben Billards,Positive,149
Rashi Mohinder,Visit,7/15/17,Barbara toured University. To continue engaging with Center.,N,Barbara Benaldi,Positive,150
Rashi Mohinder,Visit,7/15/17,Institute Director met with Bill. Not a major gift prospect,N,Bill Mandel,Negative,151
Rashi Mohinder,Phone,7/15/17,Troy Rigamonti spoke with director about University Center. Troy is interested.,Y,Troy Rigamonti,Positive,152
Rashi Mohinder,Phone,7/15/17,Bondo declined to support Research project funding,N,Bondo Beadry,Negative,153
Rashi Mohinder,Email,7/15/17,Billy declined to support Research project funding,N,Billy Blanks,Negative,154
Joan Joffey,Visit,7/18/17,Mona does not want to meet during this trip.,Y,Mona Yeltz,Negative,155
Deborah Mettier,Phone,7/18/17,Miriam declined visit and is no longer interested in the Center.,N,Miriam Weathers,Negative,156
April Catson,Email,7/18/17,not interested in the University,N,Ryan Biller,Negative,157
Ann Marie Levier,Email,7/18/17,not interested in the University,Y,Willliam Namee,Negative,158
Joan Joffey,Visit,7/18/17,not interested in the University,Y,Kevin Racetop,Negative,159
Joan Joffey,Visit,7/18/17,not interested in the University,Y,Ryan Lincoln,Negative,160
Rashi Mohinder,Visit,7/18/17,not interested in the University,N,Ryan Menzo,Negative,161
Rashi Mohinder,Phone,7/18/17,Definitely interested in the Center and would like a meeting next month.,N,Melinda Montero,Positive,162
Rashi Mohinder,Email,7/18/17,Definitely interested in the Center and would like a meeting next month.,Y,Vicky Sanchez,Positive,163
Rashi Mohinder,Visit,7/18/17,Definitely interested in the University and would like a meeting next month.,N,Rachel Block,Positive,164
April Catson,Visit,7/27/17,John invited me out to see his factory. John likes the new student mentorship program.,Y,John Zappy,Positive,165
Bill Bamers,Email,7/27/17,Pappy does not want to meet during this trip.,Y,Pappy Reagan,Negative,166
Bill Bamers,Phone,7/27/17,Carol asked for me to resend email and she wants to schedule a meeting in the next couple of weeks.,N,Carol Tilly,Positive,167
Bill Bamers,Phone,7/27/17,"Spoke with Paula, following up on initial email. Paula asked for me to resend email and she wants to schedule a meeting in the next couple of weeks.",N,Paula Poundstone,Positive,168
April Catson,Visit,7/27/17,Definitely interested in the University and would like a meeting next month.,Y,Scott Soma,Positive,169
Bill Bamers,Email,7/27/17,Definitely interested in the University and would like a meeting next month.,N,Jane Timo,Positive,170
Bill Bamers,Email,7/27/17,Laurie wants to meet as soon as possible to discuss the Council volunteer group event.,N,Lauri Gold,Positive,171
Tos Norani,Visit,7/27/17,Pappy is not interested in meeting.,Y,Pappy Geoffrey,Negative,172
Rashi Mohinder,Phone,7/29/17,Andrew has decided not to support program,N,Andrew Keller,Negative,173
Rashi Mohinder,Visit,7/29/17,Brandon is not a MG prospect,N,Brandon Barry,Negative,174
